raw,display
coal-new_p_fsl_coal-ccs_mod_p_fsl,Coal-CCS_Upgrade
coal-new_p_fg_coal-ccs_mod_p_fg,Coal-CCS_Upgrade
coal-new_p_sg_coal-ccs_mod_p_sg,Coal-CCS_Upgrade
coal-new_p_ss_coal-ccs_mod_p_ss,Coal-CCS_Upgrade
coal-new_p_ww_coal-ccs_mod_p_ww,Coal-CCS_Upgrade
coal-new_d_fsu_coal-ccs_mod_d_fsu,Coal-CCS_Upgrade
coal-new_d_fsa_coal-ccs_mod_d_fsa,Coal-CCS_Upgrade
coal-new_d_fsl_coal-ccs_mod_d_fsl,Coal-CCS_Upgrade
coal-new_d_fg_coal-ccs_mod_d_fg,Coal-CCS_Upgrade
coal-new_d_sg_coal-ccs_mod_d_sg,Coal-CCS_Upgrade
coal-new_d_ss_coal-ccs_mod_d_ss,Coal-CCS_Upgrade
coal-new_d_ww_coal-ccs_mod_d_ww,Coal-CCS_Upgrade
coaloldscr_o_fsu_coal-ccs_mod_o_fsu,Coal-CCS_Upgrade
coaloldscr_o_fsa_coal-ccs_mod_o_fsa,Coal-CCS_Upgrade
coaloldscr_o_fsl_coal-ccs_mod_o_fsl,Coal-CCS_Upgrade
coaloldscr_o_fg_coal-ccs_mod_o_fg,Coal-CCS_Upgrade
coaloldscr_o_sg_coal-ccs_mod_o_sg,Coal-CCS_Upgrade
coaloldscr_o_ss_coal-ccs_mod_o_ss,Coal-CCS_Upgrade
coaloldscr_o_ww_coal-ccs_mod_o_ww,Coal-CCS_Upgrade
coaloldscr_r_fsu_coal-ccs_mod_r_fsu,Coal-CCS_Upgrade
coaloldscr_r_fsa_coal-ccs_mod_r_fsa,Coal-CCS_Upgrade
coaloldscr_r_fsl_coal-ccs_mod_r_fsl,Coal-CCS_Upgrade
coaloldscr_r_fg_coal-ccs_mod_r_fg,Coal-CCS_Upgrade
coaloldscr_r_sg_coal-ccs_mod_r_sg,Coal-CCS_Upgrade
coaloldscr_r_ss_coal-ccs_mod_r_ss,Coal-CCS_Upgrade
coaloldscr_r_ww_coal-ccs_mod_r_ww,Coal-CCS_Upgrade
coaloldscr_p_fsu_coal-ccs_mod_p_fsu,Coal-CCS_Upgrade
coaloldscr_p_fsa_coal-ccs_mod_p_fsa,Coal-CCS_Upgrade
coaloldscr_p_fsl_coal-ccs_mod_p_fsl,Coal-CCS_Upgrade
coaloldscr_p_fg_coal-ccs_mod_p_fg,Coal-CCS_Upgrade
coaloldscr_p_sg_coal-ccs_mod_p_sg,Coal-CCS_Upgrade
coaloldscr_p_ss_coal-ccs_mod_p_ss,Coal-CCS_Upgrade
coaloldscr_p_ww_coal-ccs_mod_p_ww,Coal-CCS_Upgrade
coaloldscr_d_fsu_coal-ccs_mod_d_fsu,Coal-CCS_Upgrade
coaloldscr_d_fsa_coal-ccs_mod_d_fsa,Coal-CCS_Upgrade
coaloldscr_d_fsl_coal-ccs_mod_d_fsl,Coal-CCS_Upgrade
coaloldscr_d_fg_coal-ccs_mod_d_fg,Coal-CCS_Upgrade
coaloldscr_d_sg_coal-ccs_mod_d_sg,Coal-CCS_Upgrade
coaloldscr_d_ss_coal-ccs_mod_d_ss,Coal-CCS_Upgrade
coaloldscr_d_ww_coal-ccs_mod_d_ww,Coal-CCS_Upgrade
coalolduns_o_fsu_coal-ccs_mod_o_fsu,Coal-CCS_Upgrade
coalolduns_o_fsa_coal-ccs_mod_o_fsa,Coal-CCS_Upgrade
coalolduns_o_fsl_coal-ccs_mod_o_fsl,Coal-CCS_Upgrade
coalolduns_o_fg_coal-ccs_mod_o_fg,Coal-CCS_Upgrade
coalolduns_o_sg_coal-ccs_mod_o_sg,Coal-CCS_Upgrade
coalolduns_o_ss_coal-ccs_mod_o_ss,Coal-CCS_Upgrade
coalolduns_o_ww_coal-ccs_mod_o_ww,Coal-CCS_Upgrade
coalolduns_r_fsu_coal-ccs_mod_r_fsu,Coal-CCS_Upgrade
coalolduns_r_fsa_coal-ccs_mod_r_fsa,Coal-CCS_Upgrade
coalolduns_r_fsl_coal-ccs_mod_r_fsl,Coal-CCS_Upgrade
coalolduns_r_fg_coal-ccs_mod_r_fg,Coal-CCS_Upgrade
coalolduns_r_sg_coal-ccs_mod_r_sg,Coal-CCS_Upgrade
coalolduns_r_ss_coal-ccs_mod_r_ss,Coal-CCS_Upgrade
coalolduns_r_ww_coal-ccs_mod_r_ww,Coal-CCS_Upgrade
coalolduns_p_fsu_coal-ccs_mod_p_fsu,Coal-CCS_Upgrade
coalolduns_p_fsa_coal-ccs_mod_p_fsa,Coal-CCS_Upgrade
coalolduns_p_fsl_coal-ccs_mod_p_fsl,Coal-CCS_Upgrade
coalolduns_p_fg_coal-ccs_mod_p_fg,Coal-CCS_Upgrade
coalolduns_p_sg_coal-ccs_mod_p_sg,Coal-CCS_Upgrade
coalolduns_p_ss_coal-ccs_mod_p_ss,Coal-CCS_Upgrade
coalolduns_p_ww_coal-ccs_mod_p_ww,Coal-CCS_Upgrade
coalolduns_d_fsu_coal-ccs_mod_d_fsu,Coal-CCS_Upgrade
coalolduns_d_fsa_coal-ccs_mod_d_fsa,Coal-CCS_Upgrade
coalolduns_d_fsl_coal-ccs_mod_d_fsl,Coal-CCS_Upgrade
coalolduns_d_fg_coal-ccs_mod_d_fg,Coal-CCS_Upgrade
coalolduns_d_sg_coal-ccs_mod_d_sg,Coal-CCS_Upgrade
coalolduns_d_ss_coal-ccs_mod_d_ss,Coal-CCS_Upgrade
coalolduns_d_ww_coal-ccs_mod_d_ww,Coal-CCS_Upgrade
cofirenew_o_fsu_coal-ccs_mod_o_fsu,Coal-CCS_Upgrade
cofirenew_o_fsa_coal-ccs_mod_o_fsa,Coal-CCS_Upgrade
cofirenew_o_fsl_coal-ccs_mod_o_fsl,Coal-CCS_Upgrade
cofirenew_o_fg_coal-ccs_mod_o_fg,Coal-CCS_Upgrade
cofirenew_o_sg_coal-ccs_mod_o_sg,Coal-CCS_Upgrade
cofirenew_o_ss_coal-ccs_mod_o_ss,Coal-CCS_Upgrade
cofirenew_o_ww_coal-ccs_mod_o_ww,Coal-CCS_Upgrade
cofirenew_r_fsu_coal-ccs_mod_r_fsu,Coal-CCS_Upgrade
cofirenew_r_fsa_coal-ccs_mod_r_fsa,Coal-CCS_Upgrade
cofirenew_r_fsl_coal-ccs_mod_r_fsl,Coal-CCS_Upgrade
cofirenew_r_fg_coal-ccs_mod_r_fg,Coal-CCS_Upgrade
cofirenew_r_sg_coal-ccs_mod_r_sg,Coal-CCS_Upgrade
cofirenew_r_ss_coal-ccs_mod_r_ss,Coal-CCS_Upgrade
cofirenew_r_ww_coal-ccs_mod_r_ww,Coal-CCS_Upgrade
cofirenew_p_fsu_coal-ccs_mod_p_fsu,Coal-CCS_Upgrade
cofirenew_p_fsa_coal-ccs_mod_p_fsa,Coal-CCS_Upgrade
cofirenew_p_fsl_coal-ccs_mod_p_fsl,Coal-CCS_Upgrade
cofirenew_p_fg_coal-ccs_mod_p_fg,Coal-CCS_Upgrade
cofirenew_p_sg_coal-ccs_mod_p_sg,Coal-CCS_Upgrade
cofirenew_p_ss_coal-ccs_mod_p_ss,Coal-CCS_Upgrade
cofirenew_p_ww_coal-ccs_mod_p_ww,Coal-CCS_Upgrade
cofirenew_d_fsu_coal-ccs_mod_d_fsu,Coal-CCS_Upgrade
cofirenew_d_fsa_coal-ccs_mod_d_fsa,Coal-CCS_Upgrade
cofirenew_d_fsl_coal-ccs_mod_d_fsl,Coal-CCS_Upgrade
cofirenew_d_fg_coal-ccs_mod_d_fg,Coal-CCS_Upgrade
cofirenew_d_sg_coal-ccs_mod_d_sg,Coal-CCS_Upgrade
cofirenew_d_ss_coal-ccs_mod_d_ss,Coal-CCS_Upgrade
cofirenew_d_ww_coal-ccs_mod_d_ww,Coal-CCS_Upgrade
cofireold_o_fsu_coal-ccs_mod_o_fsu,Coal-CCS_Upgrade
cofireold_o_fsa_coal-ccs_mod_o_fsa,Coal-CCS_Upgrade
cofireold_o_fsl_coal-ccs_mod_o_fsl,Coal-CCS_Upgrade
cofireold_o_fg_coal-ccs_mod_o_fg,Coal-CCS_Upgrade
cofireold_o_sg_coal-ccs_mod_o_sg,Coal-CCS_Upgrade
cofireold_o_ss_coal-ccs_mod_o_ss,Coal-CCS_Upgrade
cofireold_o_ww_coal-ccs_mod_o_ww,Coal-CCS_Upgrade
cofireold_r_fsu_coal-ccs_mod_r_fsu,Coal-CCS_Upgrade
cofireold_r_fsa_coal-ccs_mod_r_fsa,Coal-CCS_Upgrade
cofireold_r_fsl_coal-ccs_mod_r_fsl,Coal-CCS_Upgrade
cofireold_r_fg_coal-ccs_mod_r_fg,Coal-CCS_Upgrade
cofireold_r_sg_coal-ccs_mod_r_sg,Coal-CCS_Upgrade
cofireold_r_ss_coal-ccs_mod_r_ss,Coal-CCS_Upgrade
cofireold_r_ww_coal-ccs_mod_r_ww,Coal-CCS_Upgrade
cofireold_p_fsu_coal-ccs_mod_p_fsu,Coal-CCS_Upgrade
cofireold_p_fsa_coal-ccs_mod_p_fsa,Coal-CCS_Upgrade
cofireold_p_fsl_coal-ccs_mod_p_fsl,Coal-CCS_Upgrade
cofireold_p_fg_coal-ccs_mod_p_fg,Coal-CCS_Upgrade
cofireold_p_sg_coal-ccs_mod_p_sg,Coal-CCS_Upgrade
cofireold_p_ss_coal-ccs_mod_p_ss,Coal-CCS_Upgrade
cofireold_p_ww_coal-ccs_mod_p_ww,Coal-CCS_Upgrade
cofireold_d_fsu_coal-ccs_mod_d_fsu,Coal-CCS_Upgrade
cofireold_d_fsa_coal-ccs_mod_d_fsa,Coal-CCS_Upgrade
cofireold_d_fsl_coal-ccs_mod_d_fsl,Coal-CCS_Upgrade
cofireold_d_fg_coal-ccs_mod_d_fg,Coal-CCS_Upgrade
cofireold_d_sg_coal-ccs_mod_d_sg,Coal-CCS_Upgrade
cofireold_d_ss_coal-ccs_mod_d_ss,Coal-CCS_Upgrade
cofireold_d_ww_coal-ccs_mod_d_ww,Coal-CCS_Upgrade
gas-cc_o_fsu_gas-cc-ccs_mod_o_fsu,Gas-CC-CCS_Upgrade
gas-cc_o_fsa_gas-cc-ccs_mod_o_fsa,Gas-CC-CCS_Upgrade
gas-cc_o_fsl_gas-cc-ccs_mod_o_fsl,Gas-CC-CCS_Upgrade
gas-cc_o_fg_gas-cc-ccs_mod_o_fg,Gas-CC-CCS_Upgrade
gas-cc_o_sg_gas-cc-ccs_mod_o_sg,Gas-CC-CCS_Upgrade
gas-cc_o_ss_gas-cc-ccs_mod_o_ss,Gas-CC-CCS_Upgrade
gas-cc_o_ww_gas-cc-ccs_mod_o_ww,Gas-CC-CCS_Upgrade
gas-cc_r_fsu_gas-cc-ccs_mod_r_fsu,Gas-CC-CCS_Upgrade
gas-cc_r_fsa_gas-cc-ccs_mod_r_fsa,Gas-CC-CCS_Upgrade
gas-cc_r_fsl_gas-cc-ccs_mod_r_fsl,Gas-CC-CCS_Upgrade
gas-cc_r_fg_gas-cc-ccs_mod_r_fg,Gas-CC-CCS_Upgrade
gas-cc_r_sg_gas-cc-ccs_mod_r_sg,Gas-CC-CCS_Upgrade
gas-cc_r_ss_gas-cc-ccs_mod_r_ss,Gas-CC-CCS_Upgrade
gas-cc_r_ww_gas-cc-ccs_mod_r_ww,Gas-CC-CCS_Upgrade
gas-cc_p_fsu_gas-cc-ccs_mod_p_fsu,Gas-CC-CCS_Upgrade
gas-cc_p_fsa_gas-cc-ccs_mod_p_fsa,Gas-CC-CCS_Upgrade
gas-cc_p_fsl_gas-cc-ccs_mod_p_fsl,Gas-CC-CCS_Upgrade
gas-cc_p_fg_gas-cc-ccs_mod_p_fg,Gas-CC-CCS_Upgrade
gas-cc_p_sg_gas-cc-ccs_mod_p_sg,Gas-CC-CCS_Upgrade
gas-cc_p_ss_gas-cc-ccs_mod_p_ss,Gas-CC-CCS_Upgrade
gas-cc_p_ww_gas-cc-ccs_mod_p_ww,Gas-CC-CCS_Upgrade
gas-cc_d_fsu_gas-cc-ccs_mod_d_fsu,Gas-CC-CCS_Upgrade
gas-cc_d_fsa_gas-cc-ccs_mod_d_fsa,Gas-CC-CCS_Upgrade
gas-cc_d_fsl_gas-cc-ccs_mod_d_fsl,Gas-CC-CCS_Upgrade
gas-cc_d_fg_gas-cc-ccs_mod_d_fg,Gas-CC-CCS_Upgrade
gas-cc_d_sg_gas-cc-ccs_mod_d_sg,Gas-CC-CCS_Upgrade
gas-cc_d_ss_gas-cc-ccs_mod_d_ss,Gas-CC-CCS_Upgrade
gas-cc_d_ww_gas-cc-ccs_mod_d_ww,Gas-CC-CCS_Upgrade
coal-igcc_o_fsu_coal-ccs_max_o_fsu,Coal-CCS_Upgrade
coal-igcc_o_fsa_coal-ccs_max_o_fsa,Coal-CCS_Upgrade
coal-igcc_o_fsl_coal-ccs_max_o_fsl,Coal-CCS_Upgrade
coal-igcc_o_fg_coal-ccs_max_o_fg,Coal-CCS_Upgrade
coal-igcc_o_sg_coal-ccs_max_o_sg,Coal-CCS_Upgrade
coal-igcc_o_ss_coal-ccs_max_o_ss,Coal-CCS_Upgrade
coal-igcc_o_ww_coal-ccs_max_o_ww,Coal-CCS_Upgrade
coal-igcc_r_fsu_coal-ccs_max_r_fsu,Coal-CCS_Upgrade
coal-igcc_r_fsa_coal-ccs_max_r_fsa,Coal-CCS_Upgrade
coal-igcc_r_fsl_coal-ccs_max_r_fsl,Coal-CCS_Upgrade
coal-igcc_r_fg_coal-ccs_max_r_fg,Coal-CCS_Upgrade
coal-igcc_r_sg_coal-ccs_max_r_sg,Coal-CCS_Upgrade
coal-igcc_r_ss_coal-ccs_max_r_ss,Coal-CCS_Upgrade
coal-igcc_r_ww_coal-ccs_max_r_ww,Coal-CCS_Upgrade
coal-igcc_p_fsu_coal-ccs_max_p_fsu,Coal-CCS_Upgrade
coal-igcc_p_fsa_coal-ccs_max_p_fsa,Coal-CCS_Upgrade
coal-igcc_p_fsl_coal-ccs_max_p_fsl,Coal-CCS_Upgrade
coal-igcc_p_fg_coal-ccs_max_p_fg,Coal-CCS_Upgrade
coal-igcc_p_sg_coal-ccs_max_p_sg,Coal-CCS_Upgrade
coal-igcc_p_ss_coal-ccs_max_p_ss,Coal-CCS_Upgrade
coal-igcc_p_ww_coal-ccs_max_p_ww,Coal-CCS_Upgrade
coal-igcc_d_fsu_coal-ccs_max_d_fsu,Coal-CCS_Upgrade
coal-igcc_d_fsa_coal-ccs_max_d_fsa,Coal-CCS_Upgrade
coal-igcc_d_fsl_coal-ccs_max_d_fsl,Coal-CCS_Upgrade
coal-igcc_d_fg_coal-ccs_max_d_fg,Coal-CCS_Upgrade
coal-igcc_d_sg_coal-ccs_max_d_sg,Coal-CCS_Upgrade
coal-igcc_d_ss_coal-ccs_max_d_ss,Coal-CCS_Upgrade
coal-igcc_d_ww_coal-ccs_max_d_ww,Coal-CCS_Upgrade
coal-new_o_fsu_coal-ccs_max_o_fsu,Coal-CCS_Upgrade
coal-new_o_fsa_coal-ccs_max_o_fsa,Coal-CCS_Upgrade
coal-new_o_fsl_coal-ccs_max_o_fsl,Coal-CCS_Upgrade
coal-new_o_fg_coal-ccs_max_o_fg,Coal-CCS_Upgrade
coal-new_o_sg_coal-ccs_max_o_sg,Coal-CCS_Upgrade
coal-new_o_ss_coal-ccs_max_o_ss,Coal-CCS_Upgrade
coal-new_o_ww_coal-ccs_max_o_ww,Coal-CCS_Upgrade
coal-new_r_fsu_coal-ccs_max_r_fsu,Coal-CCS_Upgrade
coal-new_r_fsa_coal-ccs_max_r_fsa,Coal-CCS_Upgrade
coal-new_r_fsl_coal-ccs_max_r_fsl,Coal-CCS_Upgrade
coal-new_r_fg_coal-ccs_max_r_fg,Coal-CCS_Upgrade
coal-new_r_sg_coal-ccs_max_r_sg,Coal-CCS_Upgrade
coal-new_r_ss_coal-ccs_max_r_ss,Coal-CCS_Upgrade
coal-new_r_ww_coal-ccs_max_r_ww,Coal-CCS_Upgrade
coal-new_p_fsu_coal-ccs_max_p_fsu,Coal-CCS_Upgrade
coal-new_p_fsa_coal-ccs_max_p_fsa,Coal-CCS_Upgrade
coal-new_p_fsl_coal-ccs_max_p_fsl,Coal-CCS_Upgrade
coal-new_p_fg_coal-ccs_max_p_fg,Coal-CCS_Upgrade
coal-new_p_sg_coal-ccs_max_p_sg,Coal-CCS_Upgrade
coal-new_p_ss_coal-ccs_max_p_ss,Coal-CCS_Upgrade
coal-new_p_ww_coal-ccs_max_p_ww,Coal-CCS_Upgrade
coal-new_d_fsu_coal-ccs_max_d_fsu,Coal-CCS_Upgrade
coal-new_d_fsa_coal-ccs_max_d_fsa,Coal-CCS_Upgrade
coal-new_d_fsl_coal-ccs_max_d_fsl,Coal-CCS_Upgrade
coal-new_d_fg_coal-ccs_max_d_fg,Coal-CCS_Upgrade
coal-new_d_sg_coal-ccs_max_d_sg,Coal-CCS_Upgrade
coal-new_d_ss_coal-ccs_max_d_ss,Coal-CCS_Upgrade
coal-new_d_ww_coal-ccs_max_d_ww,Coal-CCS_Upgrade
coaloldscr_o_fsu_coal-ccs_max_o_fsu,Coal-CCS_Upgrade
coaloldscr_o_fsa_coal-ccs_max_o_fsa,Coal-CCS_Upgrade
coaloldscr_o_fsl_coal-ccs_max_o_fsl,Coal-CCS_Upgrade
coaloldscr_o_fg_coal-ccs_max_o_fg,Coal-CCS_Upgrade
coaloldscr_o_sg_coal-ccs_max_o_sg,Coal-CCS_Upgrade
coaloldscr_o_ss_coal-ccs_max_o_ss,Coal-CCS_Upgrade
coaloldscr_o_ww_coal-ccs_max_o_ww,Coal-CCS_Upgrade
coaloldscr_r_fsu_coal-ccs_max_r_fsu,Coal-CCS_Upgrade
coaloldscr_r_fsa_coal-ccs_max_r_fsa,Coal-CCS_Upgrade
coaloldscr_r_fsl_coal-ccs_max_r_fsl,Coal-CCS_Upgrade
coaloldscr_r_fg_coal-ccs_max_r_fg,Coal-CCS_Upgrade
coaloldscr_r_sg_coal-ccs_max_r_sg,Coal-CCS_Upgrade
coaloldscr_r_ss_coal-ccs_max_r_ss,Coal-CCS_Upgrade
coaloldscr_r_ww_coal-ccs_max_r_ww,Coal-CCS_Upgrade
coaloldscr_p_fsu_coal-ccs_max_p_fsu,Coal-CCS_Upgrade
coaloldscr_p_fsa_coal-ccs_max_p_fsa,Coal-CCS_Upgrade
coaloldscr_p_fsl_coal-ccs_max_p_fsl,Coal-CCS_Upgrade
coaloldscr_p_fg_coal-ccs_max_p_fg,Coal-CCS_Upgrade
coaloldscr_p_sg_coal-ccs_max_p_sg,Coal-CCS_Upgrade
coaloldscr_p_ss_coal-ccs_max_p_ss,Coal-CCS_Upgrade
coaloldscr_p_ww_coal-ccs_max_p_ww,Coal-CCS_Upgrade
coaloldscr_d_fsu_coal-ccs_max_d_fsu,Coal-CCS_Upgrade
coaloldscr_d_fsa_coal-ccs_max_d_fsa,Coal-CCS_Upgrade
coaloldscr_d_fsl_coal-ccs_max_d_fsl,Coal-CCS_Upgrade
coaloldscr_d_fg_coal-ccs_max_d_fg,Coal-CCS_Upgrade
coaloldscr_d_sg_coal-ccs_max_d_sg,Coal-CCS_Upgrade
coaloldscr_d_ss_coal-ccs_max_d_ss,Coal-CCS_Upgrade
coaloldscr_d_ww_coal-ccs_max_d_ww,Coal-CCS_Upgrade
coalolduns_o_fsu_coal-ccs_max_o_fsu,Coal-CCS_Upgrade
coalolduns_o_fsa_coal-ccs_max_o_fsa,Coal-CCS_Upgrade
coalolduns_o_fsl_coal-ccs_max_o_fsl,Coal-CCS_Upgrade
coalolduns_o_fg_coal-ccs_max_o_fg,Coal-CCS_Upgrade
coalolduns_o_sg_coal-ccs_max_o_sg,Coal-CCS_Upgrade
