start,end,polarity,voltage,cost_MUSD,length_miles
6daff3d43615b65709577a08c6adab4e,451fbb024d0794ffcda2258170740a1e,ac,138,100.12,55.87
86386f474e7ff81bec537b5f92c4bc98,581a4c33889fc7aeca599e03628e37d3,ac,138,57.49,32.08
84094c9f8dc82c57cae08d3cd0acb96f,28eb72beb39c803322c843071024b921,ac,161,32.05,17.56
fed509800df41e8a2ec17e894a2626f0,06272ac116657d42f35bc81a1e28799a,ac,138,83.61,46.66
5c651f725ebbdc7ade68e7a6a0482cad,2dbe0192a67555d8bb72ec22c1fd677a,ac,138,95.42,53.25
1e5f03008ee35b23c08673dc64251233,581a4c33889fc7aeca599e03628e37d3,ac,138,56.2,31.36
ea7f2f9471927458f88b04f4b1832b2a,73103ddd969c87aee1a6cfe805b7dbd4,ac,138,70.91,39.57
330ed495de3b92a521c187d5477ae927,c9a6cd805da336d3dab2bf66c094135a,ac,138,25.57,14.27
98b8bfc1a714a2b84af2b8a57fd7dc2c,0ded6348389f35483e961d04d7babcc8,ac,138,60.46,33.74
c7d7a54da0f35a8abde8961b6897abe1,64608f951c2e26fcddeb4dca75459470,ac,138,132.86,74.14
b67f7a2545b1b6f1a4d044532d86029c,80a86f20a8ae1c080b2d5ae20608af13,ac,138,192.62,107.49
c334d1fb8d3157de3a0ebf8683060878,5a9655228d1553027a200fad19fae287,ac,161,32.69,17.91
c334d1fb8d3157de3a0ebf8683060878,84094c9f8dc82c57cae08d3cd0acb96f,ac,161,47.83,26.21
c334d1fb8d3157de3a0ebf8683060878,d23f1d1cd4efe77dac5482f856a9d12d,ac,161,63.13,34.59
c9017f70c00a8572737c9f1cdda325e1,5c68c574eb52dbbb337b4e46d2dbcfc8,ac,161,51.63,28.29
dfe9e18ded4239b8f21081ad7e88cfea,b900a5f2bb1f01b0351c8c30e49a2b86,ac,161,80.56,44.14
5097ae38663ea27586f6b57c1f1b9c8a,acffd8b337597f4e2afac7dc73107738,ac,138,25.03,13.97
1df146af0948a68b1342ce39907668fe,1cbaa4e5609fb6517f54f0ab0c205ada,ac,138,37.76,21.07
f633469121cb1895ba8023439e8197df,b5eded274dbfe983c9a4bb1f5ed640cc,ac,138,41.72,23.28
654e26e8456b5b4d94e4044a28018f43,a0fb781fa35dbce6299c291eb39e0022,ac,138,68.19,38.05
8138a8468133863b08806cde29342a09,681edca905f93d0d1ddd5f82b0385bae,ac,138,57.92,32.32
35109f5ad05b4af6bf2f9279ef9d145c,681edca905f93d0d1ddd5f82b0385bae,ac,138,48.01,26.79
4385a0335a5daa56f694a86f9e3e599e,cd24c3cabd88307c9c9299817143ba5d,ac,138,49.01,27.35
7e17d1a0db048c466ba0a15fffaaa247,0a16b09784bae8287858faf95511a66e,ac,138,63.9,35.66
acd8e077df586ebda1fd48dbdf72c552,a98a5bd776d042d78331ff291d61ffa1,ac,138,4.23,2.36
96bd45d5e935c252c3aa57552a94af25,a0fb781fa35dbce6299c291eb39e0022,ac,138,84.39,47.09
6ad12fa5cb42f30cf25eece923e5ac56,4f80dcbf24c10c3ce9f7a1516a62e587,ac,138,46.79,26.11
9c75bab0f5d964591655e73e7c22c540,bd1de862c509c34de95c9a2655e48586,ac,138,46.2,25.78
06df3703b8d7910418d900604aa1bf86,89efddd3e5b3984d72d0d03408d26650,ac,138,68.6,38.28
e4ae5a0d155ae14613e6cd907bf7040a,28cb23ccdd6ffd135d545e6eb7f25c02,ac,138,45.05,25.14
275451c8e61e2f192cd7c00e36f80a42,0ee538bb20ea7c803d4033366d8da20b,ac,138,67.68,37.77
797188ee3a7ea183a8c844f526c214b4,ff8d9fee05e6c18c987f61ccac7537f4,ac,138,83.88,46.81
330add99531b6d578cc1c18e8444b10a,112473807df45853e16204788ce21e2c,ac,138,62.47,34.86
5d1b48a9347cea56614eb2257b664102,982eb70bf8926c22597436392ebf6e11,ac,138,83.54,46.62
ef591ef20bf1f1923947002769dd0fa0,cd24c3cabd88307c9c9299817143ba5d,ac,138,68.83,38.41
517190615c497358dbdf405aeac44c5b,586406bbb76b6baac45c43a81ec2e35c,ac,138,45.32,25.29
92a763842faeaaa9e9fed136d596c597,581a4c33889fc7aeca599e03628e37d3,ac,138,107.07,59.75
bc7386076e4bf0bd4c58874726403e1e,1ae6ef6d58b4b5c4120321a9786c100d,ac,138,39.32,21.94
4b6671edd95042c93748edc0cd77a1ae,afbfcecf571fbc13419f3bfd386cee97,ac,138,45.43,25.35
8d9d4a6ada2203326292becd8a961dc9,681edca905f93d0d1ddd5f82b0385bae,ac,138,36.27,20.24
c4896e2b7f31bdb285363d1ef8ce327e,681edca905f93d0d1ddd5f82b0385bae,ac,138,38.85,21.68
3156231783935e97c9ac263991fe57cc,9810f068f88157e1e1e1df7a2d80706a,ac,138,55.75,31.11
ac8596485fcdd6ee2d708a4a6cb24291,85c19375f0c12c6793bf66b4e2666dc4,ac,138,40.0,22.32
6358390c66d2575ac3607502a92e34af,b5eded274dbfe983c9a4bb1f5ed640cc,ac,138,31.36,17.5
9426e9770a77cbcaefe1fb3a7e36327d,586406bbb76b6baac45c43a81ec2e35c,ac,138,44.33,24.74
73103ddd969c87aee1a6cfe805b7dbd4,6648cb0e60b6ebcb33f638831097eb8b,ac,138,45.53,25.41
80a86f20a8ae1c080b2d5ae20608af13,9c2bfd97ce00ce9553bdc0f34c3532b6,ac,138,170.37,95.07
8f3fafdec035b1e90015ae6071184f54,80a86f20a8ae1c080b2d5ae20608af13,ac,138,290.02,161.84
3e95b38ce315f12892dee0121e6fad4a,f7370a6dcf0258acd5d76f594612c249,ac,138,99.24,55.38
0c64b7c951c32ba2449ef04382ae00ef,b5eded274dbfe983c9a4bb1f5ed640cc,ac,138,48.92,27.3
819fefda81994b411a379b51918baa45,df0d340ef29911141baad7928c22fac0,ac,138,84.6,47.21
581a4c33889fc7aeca599e03628e37d3,1a6203d931bf37e0476a02bea3effe97,ac,138,56.27,31.4
98b8bfc1a714a2b84af2b8a57fd7dc2c,59e303779456f354cb4c87447155d612,ac,138,49.73,27.75
acffd8b337597f4e2afac7dc73107738,f224bc47515172796636f6e947831e1e,ac,138,8.06,4.5
