md5_from,md5_to,MW_forward,MW_reverse,source
726bd18c52afc248015dcdbc463c6f85,3da3e32030bd705ee69c42ee0ac833b1,0.0,220.742,uprate
a3444e049a3a88560cba360c18001932,314e9197a43a6d40cef6f1629e2c3721,0.0,25.96,uprate
9dfe163fd649f3b985fa8efd30a54391,33097b67fa51e0115312196ee8231b5b,0.0,1211.892,uprate
9dfe163fd649f3b985fa8efd30a54391,9fc14d103064494b6a2be4dbd1dcdf32,0.0,4675.415,uprate
5739286cebed3495484f106535d1932a,d7e81e78801865d4e4c1be615e762ba4,305.489,0.0,uprate
d118d975f3cdf403187a078f3a06f866,6ce64974339716970bc8d1b81e97c6ea,3.677,0.0,newlink
77382415bbfc9bcb5b2f5b5f5724406c,d034a7eda6e49ec2b22c5eee94b053c7,39.738,0.0,uprate
0fee63978c85715541a6a87d1d4d319a,369b35ac15709446de9ac5eac1ce9d9c,0.0,29.703,uprate
d7e81e78801865d4e4c1be615e762ba4,d0e5dfb52f4a6325738b1042cce523d7,0.0,859.921,uprate
c4aee399fbe5893f9bc44fa160ee3107,9fc14d103064494b6a2be4dbd1dcdf32,0.0,128.037,uprate
e0f9db367e8733c2938c6cd1a86eef56,c1b6b586784191ee3d846b56d9714ac6,0.0,286.826,uprate
39ba1389e2930ff24e3101741c9009ea,086822668212a6e00da4c085dc390703,0.0,142.705,uprate
ef7141e5a52641b0941128fcbbde8a27,ac0bfdba5fb1f97273dbcc5039c665c4,0.0,17.522,uprate
6cbab356d49502660d99ed767604a327,05b021ab5bf481558d40ac9cc81d95e5,0.0,1.056,uprate
e25f50c93d321b7fdff05757de426238,367df17877b8e778ae3fdc03213438e3,1.49,0.0,uprate
87da4431e0eed76ea31c948f8310ca79,adad0f2b196a1ed3e3b9d9025c397132,0.0,44.858,uprate
2be1f64cae97e3767efd3c0bef7b0779,c490f96bbae13d62132dda54ef1ec86e,39.218,0.0,uprate
18a7f966b0a5c8bc7da57ca7a7521c4f,0caaa766dc911a0ba41070269c4a9758,15.542,0.0,newlink
80fe651f52abe7a9ea11a3cc79f5a170,ca9eac0c76de0cab71d5b50951fe4c5f,39.843,0.0,uprate
80fe651f52abe7a9ea11a3cc79f5a170,0b1a9804a1661ef758a1f76011b7ceb8,36.441,0.0,uprate
aff2ece53fb372e0a4cbe56c479918c4,c4896e2b7f31bdb285363d1ef8ce327e,0.0,42.087,uprate
